time[s],LF_EXT-LF_FLX,LH_EXT-LH_FLX,RF_EXT-RF_FLX,RH_EXT-RH_FLX
0.156,0,0.756091,-1.23987,0
0.157,0,0.757355,-1.23718,0
0.158,0,0.758595,-1.23447,0
0.159,0,0.759811,-1.23175,0
0.16,0,0.761003,-1.22901,0
0.161,0,0.76217,-1.22625,0
0.162,0,0.763314,-1.22348,0
0.163,0,0.764434,-1.22069,0
0.164,0,0.76553,-1.21789,0
0.165,0,0.766602,-1.21508,0
0.166,0,0.767651,-1.21225,0
0.167,0,0.768676,-1.20941,0
0.168,0,0.769677,-1.20656,0
0.169,0,0.770655,-1.20369,0
0.17,0,0.77161,-1.20082,0
0.171,0,0.772541,-1.19793,0
0.172,0,0.773448,-1.19504,0
0.173,0,0.774332,-1.19213,0
0.174,0,0.775193,-1.18921,0
0.175,0,0.77603,-1.18629,0
0.176,0,0.776844,-1.18336,0
0.177,0,0.777635,-1.18042,0
0.178,0,0.778402,-1.17747,0
0.179,0,0.779146,-1.17451,0
0.18,0,0.779867,-1.17155,0
0.181,0,0.780565,-1.16858,0
0.182,0,0.781239,-1.1656,0
0.183,0,0.78189,-1.16262,0
0.184,0,0.782518,-1.15964,0
0.185,0,0.783123,-1.15664,0
0.186,0,0.783704,-1.15365,0
0.187,0,0.784262,-1.15065,0
0.188,0,0.784797,-1.14764,0
0.189,0,0.785309,-1.14463,0
0.19,0,0.785797,-1.14162,0
0.191,0,0.786262,-1.1386,0
0.192,0,0.786704,-1.13558,0
0.193,0,0.787123,-1.13256,0
0.194,0,0.787518,-1.12954,0
0.195,0,0.78789,-1.12651,0
0.196,0,0.788239,-1.12349,0
0.197,0,0.788564,-1.12046,0
0.198,0,0.788866,-1.11743,0
0.199,0,0.789145,-1.1144,0
0.2,0,0.789401,-1.11136,0
0.201,0,0.789633,-1.10833,0
0.202,0,0.789842,-1.1053,0
0.203,0,0.790027,-1.10226,0
0.204,0,0.790189,-1.09923,0
0.205,0,0.790328,-1.0962,0
0.206,0,0.790443,-1.09317,0
0.207,0,0.790535,-1.09014,0
0.208,0,0.790603,-1.08711,0
0.209,0,0.790648,-1.08408,0
0.21,0,0.79067,-1.08105,0
0.211,0,0.790668,-1.07802,0
0.212,0,0.790642,-1.075,0
0.213,0,0.790594,-1.07198,0
0.214,0,0.790521,-1.06896,0
0.215,0,0.790425,-1.06594,0
0.216,0,0.790305,-1.06292,0
0.217,0,0.790162,-1.05991,0
0.218,0,0.789996,-1.0569,0
0.219,0,0.789805,-1.05389,0
0.22,0,0.789592,-1.05089,0
0.221,0,0.789354,-1.04789,0
0.222,0,0.789093,-1.04489,0
0.223,0,0.788808,-1.04189,0
0.224,0,0.7885,-1.0389,0
0.225,0,0.788168,-1.03592,0
0.226,0,0.787812,-1.03293,0
0.227,0,0.787433,-1.02995,0
0.228,0,0.78703,-1.02698,0
0.229,0,0.786603,-1.02401,0
0.23,0,0.786153,-1.02104,0
0.231,0,0.785679,-1.01808,0
